id,name,value
child_hobby_clap,Clapping hands to rhythm,Clapping hands to rhythm
child_hobby_dancing,Dancing,Dancing
child_hobby_jumping,Jumping,Jumping
child_hobby_stories,Listening to stories,Listening to stories
child_hobby_phrases,Putting words together in phrases,Putting words together in phrases
child_hobby_ball,Rolling a ball,Rolling a ball
child_hobby_words,Saying Words,Saying words
child_hobby_walk,Walking Independently,Walking independently
child_hobby_art,Art or Drawing,Art or drawing
child_hobby_baseball,Baseball,Baseball
child_hobby_basket,Basketball,Basketball
child_hobby_bicycle,Bicycling,Bicycling
child_hobby_dolls,Dolls,Dolls
child_hobby_groups,Group Games,Group games
child_hobby_hidenseek,Hide and Seek,Hide and seek
child_hobby_jacks,Jacks,Jacks
child_hobby_rope,Jump Rope,Jump rope
child_hobby_marbles,Marbles,Marbles
child_hobby_music,Music,Music
child_hobby_instrument,Musical Instrument,Playing musical instrument
child_hobby_pingpong,Ping Pong,Ping pong
child_hobby_playhouse,Play House,Play house
child_hobby_reading,Reading,Reading
child_hobby_hoop,Rolling a hoop,Rolling a hoop
child_hobby_running,Running,Running
child_hobby_singing,Singing,Singing
child_hobby_foot,Soccer or Football,Soccer or football
child_hobby_sports,Sports,Sports
child_hobby_storytelling,Story Telling,Story telling
child_hobby_swimming,Swimming,Swimming
child_hobby_toycars,Toy Cars,Toy cars
child_hobby_volleyhand,Volleyball or Handball,Volleyball or handball
child_hobby_walking,Walking,Walking
