id,name,value
project_activity_dancing,Dancing and/or Drama,dancing and/or drama
project_activity_arts,Doing Arts & Crafts,doing arts & crafts
project_activity_trips,Going on Field Trips/Excursions,going on field excursions
project_activity_vocational,Learning New Vocational Skills,learning new vocational skills
project_activity_god,Learning about God,learning about god
project_activity_bible,Listening to Bible Stories,listening to bible stories
project_activity_service,Participating in Service Activities,participating in service activities
project_activity_games,Playing Games,playing games
project_activity_sports,Playing Sports,playing sports
project_activity_songs,Singing Songs,singing songs
project_activity_meal,Snack/Meal Time,meal time
project_activity_meal_2,Snack / Meal Time,meal time
project_activity_friends,Spending Time with Friends,spending time with friends
