id,name,value
physical_act_health_education,Age Graded Health Education,Age graded health education
physical_act_athletics,Athletics,Athletics
physical_act_motor_play,Fine/Gross Motor Play,Fine/gross motor play
physical_act_growth_monitoring,Growth Monitoring,Growth monitoring
physical_act_health_kits,Health Kits,Health kits
physical_act_health_referral,Health Referral,Health referral
physical_act_health_screening,Health Screening,Health screening
physical_act_hygiene_training,Hygiene Training,Hygiene training
physical_act_immunization,Immunization,Immunization
physical_act_indoor_outdoor_games,Indoor and Outdoor Games,Indoor and outdoor games
physical_act_medical_camps,Medical Camps,Medical camps
physical_act_medical_checkups,Medical Checkups,Medical checkups
physical_act_nutrition_caregivers,Nutrition Education for Caregivers,Nutrition education for caregivers
physical_act_nutrition,Nutritional Lessons,Nutritional lessons
physical_act_sanitation,Sanitation Demonstration Units,Sanitation demonstration units
physical_act_soccer,Soccer Tournaments,Soccer tournaments
physical_act_supplement_feeding,Supplemental Feeding,Supplemental feeding
physical_act_swimming,Swimming,Swimming
physical_act_team_building,Team Building Activities (Age Graded),Team building activities
physical_act_therapeutic_feeding,Therapeutic Feeding,Therapeutic feeding
physical_act_vaccinations,Vaccinations,Vaccinations
physical_act_no,No Activities Available at This Time,No activities available at this time
