id,name,value
socio_act_retreats,Age Graded Retreats,Age graded retreats
socio_act_bonding,Caregiver Bonding with Child,Caregiver bonding with child
socio_act_community,Community Service,Community service
socio_act_counseling_hiv,Counseling and Testing for HIV / AIDS,Counseling and testing for hiv / aids
socio_act_birthday,Cultural and Birthday Celebrations,Cultural and birthday celebrations
socio_act_debate,Debate Clubs,Debate clubs
socio_act_drama,Drama,Drama
socio_act_games,Games (Soccer Tournaments),Soccer tournaments
socio_act_gardening,Gardening,Gardening
socio_act_group_play,Group Play,Group play
socio_act_grow_camps,Growing Up Camps,Growing up camps
socio_act_guidance,Guidance and Counselling,Guidance and counselling
socio_act_indoor_outdoor,Indoor and Outdoor Games,Indoor and outdoor games
socio_act_leadership,Leadership Training,Leadership training
socio_act_livelihood,Livelihood Skills Development,Livelihood skills development
socio_act_music,Music,Music
socio_act_peer_counselling,Peer Counselling,Peer counselling
socio_act_peer_mentorship,Peer mentorship/coaching,Peer coaching
socio_act_boundaries,Routines and Boundaries,Routines and boundaries
socio_act_self_control,Self-Control and Emotions,Self-control and emotions
socio_act_service,Service Opportunities,Service opportunities
socio_act_social_clubs,Social Clubs,Social clubs
socio_act_sports,Sports,Sports
socio_act_talent_development,Talent Development,Talent development
socio_act_team_building,Team Building,Team building
socio_act_no_activities,No Activities Available at This Time,No activities available at this time
