id,name,value
spiritual_act_workshops,Age graded workshops,Age graded workshops
spiritual_act_bible_drills,Bible Drills,Bible drills
spiritual_act_bible_memory,Bible Memory Verse Club,Bible memory verse club
spiritual_act_bible_stories,Bible Stories,Bible stories
spiritual_act_bible_drama,Bible dramas / acting,Bible dramas / acting
spiritual_act_bible_study,Bible study,Bible study
spiritual_act_camps,Camps,Camps
spiritual_act_child_conference,Children Conferences,Children conferences
spiritual_act_reconciliation,Children and Caregiver Reconciliation,Children and caregiver reconciliation
spiritual_act_discipleship_caregiver,Discipleship Of Caregivers,Discipleship of caregivers
spiritual_act_discipleship_class,Discipleship classes / sessions,Discipleship classes
spiritual_act_evangelism,Evangelism,Evangelism
spiritual_act_leaders,Leaders/Prefects trainings Days,Leaders trainings days
spiritual_act_picnics,Picnics,Picnics
spiritual_act_instruments,Playing instruments,Playing instruments
spiritual_act_prayer,Prayer,Prayer
spiritual_act_prayer_group,Prayer Group,Prayer group
spiritual_act_puppets,Puppet Shows,Puppet shows
spiritual_act_retreats,Retreats,Retreats
spiritual_act_rite_passage,Rite of Passage (Transitions),Rite of passages
spiritual_act_singing,Singing,Singing
spiritual_act_conventions,Spiritual conventions / conferences,Spiritual conventions
spiritual_act_sunday_school,Sunday School,Sunday school
spiritual_act_ushering,Ushering,Ushering
spiritual_act_vacation_bible,Vacation Bible School,Vacation bible school
spiritual_act_worship,Worship team,Worship team
spiritual_act_no_activities,No Activities Available at This Time,No activities available at this time
