id,field_office_id:id,sequence,time,title,description
learning_gh_1,field_office_gh,1,9,Prayer and breakfast,"Maize porridge, milk, sugar and bread are likely to be on the menu."
learning_gh_2,field_office_gh,2,9.5,Spiritual lessons,Children learn Bible stories and sing songs. “I have a big God by my side” is a favourite.
learning_gh_3,field_office_gh,3,10.5,Break time,"Kids and young people are given the chance to have fun, develop relationships and play in a safe space."
learning_gh_4,field_office_gh,4,11,Social lessons,Project tutors share valuable life skills e.g. how to resolve conflict and the importance of developing healthy self-esteem.
learning_gh_5,field_office_gh,5,12,Lunch and social time,"It’s lunchtime up and this time it’s likely to be rice, chicken, fish or meat. And for dessert, an orange, banana, pineapple or seasonal fruits. Our trained project cooks also give parents guidance about cooking nutritious food at home."
learning_gh_6,field_office_gh,6,13,Health lessons,The children may learn how to brush their teeth or discover tips for preventing malaria.
learning_gh_7,field_office_gh,7,14,,It’s letter writing time!
learning_gh_8,field_office_gh,8,,Did you know?,"Teenagers at the project will also take part in skill training workshops such as bead making, shoe making, soap preparation and basket weaving. Parents and caregivers are offered health education classes as well as quarterly training on children’s rights, good parenting, business management and financial management."
learning_gu1,field_office_gu,1,9,Prayer and devotional time,
learning_gu2,field_office_gu,2,9.5,Spiritual lessons,Children learn Bible stories and sing songs. They also get an age-appropriate Bible.
learning_gu3,field_office_gu,3,10.5,Break and snack time,"Kids and young people are given the chance to have fun, develop relationships and play in a safe space. Children are get a substantial snack such as cereal and a banana or a sandwich and fruit."
learning_gu4,field_office_gu,4,11,Social lessons,Project tutors share valuable life skills e.g. how to resolve conflict and the importance of developing healthy self-esteem.
learning_gu5,field_office_gu,5,12,Lunch and social time,"It’s lunchtime! Meals normally include meat, rice, vegetables and tortillas. They may also have chicken broth, a piece of chicken, vegetables and tortillas."
learning_gu6,field_office_gu,6,13,Health lessons,The children may learn how to brush their teeth or discover tips for preventing malaria.
learning_gu7,field_office_gu,7,14,,It’s letter writing time!
learning_gu8,field_office_gu,8,,Did you know?,"Children get to go to camps, drama classes, painting classes and museum visits. Teenagers also take part in vocational training activities such as beauty school, carpentry, pastry baking, seamstress training and handicrafts. Parents meet regularly to discuss child development topics such as health issues and child care tips."
learning_ha1,field_office_ha,1,9,Breakfast and devotional time,Children are given breakfast at the project which may include an egg or bread rolls.
learning_ha2,field_office_ha,2,9.5,Spiritual lessons,Children learn Bible stories and sing songs. They also get an age-appropriate Bible.
learning_ha3,field_office_ha,3,10.5,Break time,"Kids and young people are given the chance to have fun, develop relationships and play in a safe space."
learning_ha4,field_office_ha,4,11,Social lessons,Project tutors share valuable life skills e.g. how to resolve conflict and the importance of developing healthy self-esteem.
