id,name,value
cognitive_act_art,Art And Music,art and music
cognitive_act_basic,Basic Life-Skill Training,basic life-skill training
cognitive_act_career,Career Guidance,career guidance
cognitive_act_computer,Computer Classes,computer classes
cognitive_act_contests,Contests (Age Graded),age graded contests
cognitive_act_creativity,Creativity Club,creativity club
cognitive_act_mentorship_early,Early Mentorship Programs,early mentorship programs
cognitive_act_stimultation_baby,Early Stimulation For Baby,early stimulation for baby
cognitive_act_educ_assistance,Educational Assistance,educational assistance
cognitive_act_educ_tous,Educational tours/trips,educational trips
cognitive_act_internships,Internships/job attachments,internships
cognitive_act_mentorship,Mentorship,mentorship
cognitive_act_multi_sensory_play,Multi-Sensory Play,multi-sensory play
cognitive_act_panel_discussion,Panel Discussion,panel discussion
cognitive_act_pre_literacy_games,Pre-Literacy Games,pre-literacy games
cognitive_act_pre_numeracy_games,Pre-Numeracy Games,pre-numeracy games
cognitive_act_prize_giving,Prize Giving Days,prize giving days
cognitive_act_remedial,Remedial Classes (Age Graded),age graded remedial classes
cognitive_act_science_congress,Science Congress,science congresses
cognitive_act_trade_fairs,Trade Fairs,trade fairs
cognitive_act_tutoring,Tutoring,tutoring
cognitive_act_vocational_ex,Vocational Training (External Institute),vocational training
cognitive_act_vocational_in,Vocational Training (In-Church),vocational training
