id,name,value
icp_diet_bananas,Bananas,bananas
icp_diet_barley,Barley,barley
icp_diet_beans,Beans,beans
icp_diet_beef,Beef,beef
icp_diet_bread,Bread,bread
icp_diet_cabbage,Cabbage,cabbage
icp_diet_cassava,Cassava,cassava
icp_diet_cereal,Cereal,cereal
icp_diet_chickens,Chickens,chickens
icp_diet_cowpeas,Cowpeas,cowpeas
icp_diet_egg,Egg,egg
icp_diet_enset,Enset,enset
icp_diet_fish,Fish,fish
icp_diet_goat,Goat,goat
icp_diet_greengram,Green Gram,green gram
icp_diet_guineapig,Guinea Pig,guinea pig
icp_diet_injera,Injera,injera
icp_diet_kocho,Kocho,kocho
icp_diet_lentils,Lentils,lentils
icp_diet_maize,Maize,maize
icp_diet_millet,Millet,millet
icp_diet_other,Other,other
icp_diet_plantain,Plantains,plantains
icp_diet_pork,Pork,pork
icp_diet_potato,Potato,potato
icp_diet_pulse,Pulse,pulse
icp_diet_ragi,Ragi,ragi
icp_diet_rice,Rice,rice
icp_diet_roti,Roti,roti
icp_diet_sago,Sago,sago
icp_diet_simsim,Simsim,simsim
icp_diet_sorgham,Sorgham,sorgham
icp_diet_sweetpotato,Sweet Potato,sweet potato
icp_diet_teff,Teff,teff
icp_diet_wheat,Wheat,wheat
