id,name,value
physical_act_health_education,Age Graded Health Education,age graded health education
physical_act_athletics,Athletics,athletics
physical_act_motor_play,Fine/Gross Motor Play,fine/gross motor play
physical_act_growth_monitoring,Growth Monitoring,growth monitoring
physical_act_health_kits,Health Kits,health kits
physical_act_health_referral,Health Referral,health referral
physical_act_health_screening,Health Screening,health screening
physical_act_hygiene_training,Hygiene Training,hygiene training
physical_act_immunization,Immunization,immunization
physical_act_indoor_outdoor_games,Indoor And Outdoor Games,indoor and outdoor games
physical_act_medical_camps,Medical Camps,medical camps
physical_act_medical_checkups,Medical Checkups,medical checkups
physical_act_nutrition_caregivers,Nutrition Education For Caregivers,nutrition education for caregivers
physical_act_nutrition,Nutritional Lessons,nutritional lessons
physical_act_sanitation,Sanitation Demonstration Units,sanitation demonstration units
physical_act_soccer,Soccer Tournaments,soccer tournaments
physical_act_supplement_feeding,Supplemental Feeding,supplemental feeding
physical_act_swimming,Swimming,swimming
physical_act_team_building,Team Building Activities (Age Graded),team building activities
physical_act_therapeutic_feeding,Therapeutic Feeding,therapeutic feeding
physical_act_vaccinations,Vaccinations,vaccinations
