id,name,value
socio_act_retreats,Age Graded Retreats,age graded retreats
socio_act_bonding,Caregiver Bonding With Child,caregiver bonding with child
socio_act_community,Community Service,community service
socio_act_counseling_hiv,Counseling And Testing For HIV / AIDS,counseling and testing for hiv / aids
socio_act_birthday,Cultural And Birthday Celebrations,cultural and birthday celebrations
socio_act_debate,Debate Clubs,debate clubs
socio_act_drama,Drama,drama
socio_act_games,Games (Soccer Tournaments),soccer tournaments
socio_act_gardening,Gardening,gardening
socio_act_group_play,Group Play,group play
socio_act_grow_camps,Growing Up Camps,growing up camps
socio_act_guidance,Guidance And Counselling,guidance and counselling
socio_act_indoor_outdoor,Indoor And Outdoor Games,indoor and outdoor games
socio_act_leadership,Leadership Training,leadership training
socio_act_livelihood,Livelihood Skills Development,livelihood skills development
socio_act_music,Music,music
socio_act_peer_counselling,Peer Counselling,peer counselling
socio_act_peer_mentorship,Peer mentorship/coaching,peer coaching
socio_act_boundaries,Routines And Boundaries,routines and boundaries
socio_act_self_control,Self-Control And Emotions,self-control and emotions
socio_act_service,Service Opportunities,service opportunities
socio_act_social_clubs,Social Clubs,social clubs
socio_act_sports,Sports,sports
socio_act_talent_development,Talent Development,talent development
socio_act_team_building,Team Building,team building
