id,name,value
spiritual_act_workshops,Age graded workshops,age graded workshops
spiritual_act_bible_drills,Bible Drills,bible drills
spiritual_act_bible_memory,Bible Memory Verse Club,bible memory verse club
spiritual_act_bible_stories,Bible Stories,bible stories
spiritual_act_bible_drama,Bible dramas / acting,bible dramas / acting
spiritual_act_bible_study,Bible study,bible study
spiritual_act_camps,Camps,camps
spiritual_act_child_conference,Children Conferences,children conferences
spiritual_act_reconciliation,Children and Caregiver Reconciliation,children and caregiver reconciliation
spiritual_act_discipleship_caregiver,Discipleship Of Caregivers,discipleship of caregivers
spiritual_act_discipleship_class,Discipleship classes / sessions,discipleship classes
spiritual_act_evangelism,Evangelism,evangelism
spiritual_act_leaders,Leaders/Prefects trainings Days,leaders trainings days
spiritual_act_picnics,Picnics,picnics
spiritual_act_instruments,Playing instruments,playing instruments
spiritual_act_prayer,Prayer,prayer
spiritual_act_prayer_group,Prayer Group,prayer group
spiritual_act_puppets,Puppet Shows,puppet shows
spiritual_act_retreats,Retreats,retreats
spiritual_act_rite_passage,Rite of Passage (Transitions),rite of passages
spiritual_act_singing,Singing,singing
spiritual_act_conventions,Spiritual conventions / conferences,spiritual conventions
spiritual_act_sunday_school,Sunday School,sunday school
spiritual_act_ushering,Ushering,ushering
spiritual_act_vacation_bible,Vacation Bible School,vacation bible school
spiritual_act_worship,Worship team,worship team
