id,name,parent_id:id
analytic_group_interventions,Interventions,
analytic_group_church_plant_initiatives,Church Plant Initiative,analytic_group_interventions
analytic_group_disaster_response,Disaster Response,analytic_group_interventions
analytic_group_education,Education,analytic_group_interventions
analytic_group_formal_education,Formal Education,analytic_group_interventions
analytic_group_hiv_aids,HIV-AIDS,analytic_group_interventions
analytic_group_hiv_education,Hiv-Education,analytic_group_interventions
analytic_group_hvc,HVC,analytic_group_interventions
analytic_group_health,Health,analytic_group_interventions
analytic_group_income_generation,Income Generation/Household Security,analytic_group_interventions
analytic_group_infrastructure,Infrastructure,analytic_group_interventions
analytic_group_learning_materials,Learning Materials,analytic_group_interventions
analytic_group_medical,Medical,analytic_group_interventions
analytic_group_non_formal_education,Non-Formal Education,analytic_group_interventions
analytic_group_parent_education,Parent Education,analytic_group_interventions
analytic_group_sponsorship_launch,Sponsorship Launch,analytic_group_interventions
analytic_group_survival,Survival,analytic_group_interventions
analytic_group_vector_borne_interventions,Vector Borne Interventions,analytic_group_interventions
analytic_group_wash,Wash,analytic_group_interventions
