id,name,parent_id:id
analytic_group_church_plant_initiatives,Church Plant Initiative,analytic_group_bible
analytic_group_disaster_response,Disaster Response,analytic_group_drf
analytic_group_education,Education,analytic_group_vocational_fund
analytic_group_formal_education,Formal Education,analytic_group_vocational_fund
analytic_group_hiv_aids,HIV-AIDS,analytic_group_aids
analytic_group_hiv_education,Hiv-Education,analytic_group_aids
analytic_group_hvc,HVC,analytic_group_hvc_fund
analytic_group_health,Health,analytic_group_medical_fund
analytic_group_income_generation,Income Generation/Household Security,analytic_group_vocational_fund
analytic_group_infrastructure,Infrastructure,analytic_group_drf
analytic_group_learning_materials,Learning Materials,analytic_group_vocational_fund
analytic_group_medical,Medical,analytic_group_medical_fund
analytic_group_non_formal_education,Non-Formal Education,analytic_group_vocational_fund
analytic_group_parent_education,Parent Education,analytic_group_vocational_fund
analytic_group_sponsorship_launch,Sponsorship Launch,analytic_group_child_development
analytic_group_survival,Survival,analytic_group_survival_fund
analytic_group_vector_borne_interventions,Vector Borne Interventions,analytic_group_medical_fund
analytic_group_wash,Wash,analytic_group_wash_fund
analytic_group_unrestricted,unrestricted fund,analytic_group_fund
analytic_group_drf,drf fund,analytic_group_fund
analytic_group_bible,bible fund,analytic_group_fund
analytic_group_christmas,christmas fund,analytic_group_fund
analytic_group_local,local fund,analytic_group_fund
analytic_group_aids,aids fund,analytic_group_fund
analytic_group_wash_fund,wash fund,analytic_group_fund
analytic_group_ldp,ldp fund,analytic_group_fund
analytic_group_survival_fund,survival fund,analytic_group_fund
analytic_group_hvc_fund,hvc fund,analytic_group_fund
analytic_group_usp,unsponsored fund,analytic_group_fund
analytic_group_child_development,child development fund,analytic_group_fund
analytic_group_medical_fund,medical fund,analytic_group_fund
analytic_group_vocational_fund,vocational fund,analytic_group_fund
analytic_group_fund,fund,
