id,name,type,analytic_group_id:id
category_church_plant_initiatives,Church Plant Initiative,Individual CIV,analytic_group_church_plant_initiatives
category_disaster_response,Disaster Response,Individual CIV,analytic_group_disaster_response
category_education,Education,Individual CIV,analytic_group_education
category_education_ongoing,Education,Ongoing CIV FY Details,analytic_group_education
category_formal_education,Formal Education,Individual CIV,analytic_group_formal_education
category_hiv_aids,HIV-AIDS,Ongoing CIV FY Details,analytic_group_hiv_aids
category_hiv_education,Hiv-Education,Individual CIV,analytic_group_hiv_education
category_hvc,HVC,Ongoing CIV FY Details,analytic_group_hvc
category_health,Health,Individual CIV,analytic_group_health
category_income_generation,Income Generation/Household Security,Individual CIV,analytic_group_income_generation
category_infrastructure,Infrastructure,Individual CIV,analytic_group_infrastructure
category_learning_materials,Learning Materials,Individual CIV,analytic_group_learning_materials
category_medical,Medical,Ongoing CIV FY Details,analytic_group_medical
category_non_formal_education,Non-Formal Education,Individual CIV,analytic_group_non_formal_education
category_parent_education,Parent Education,Individual CIV,analytic_group_parent_education
category_sponsorship_launch,Sponsorship Launch,Sponsorship Launch,analytic_group_sponsorship_launch
category_survival,Survival,Survival FY Details,analytic_group_survival
category_vector_borne_interventions,Vector Borne Interventions,Individual CIV,analytic_group_vector_borne_interventions
category_wash,Wash,Individual CIV,analytic_group_wash
