id,name
deliverable_beneficiary_group_photo,Beneficiary Group Photo
deliverable_beneficiary_interview_and_photo,Beneficiary Interview and Photo
deliverable_final_photos_captions,Final - Photos & Captions
deliverable_final_qa,Final - Q & A
deliverable_icp_staff_group_and_individual_photos,ICP Staff Group and Individual Photos
deliverable_interim_photos_captions,Interim - Photos & Captions
deliverable_interim_program_report,Interim - Program Report
deliverable_pf_thank_you_letter,PF Thank-you Letter
deliverable_pastor_thank_you_letter,Pastor Thank-you Letter
deliverable_pastor_update_letter,Pastor Update Letter
deliverable_photo_of_thank_you_banner,Photo of Thank You Banner
deliverable_photos_of_thank_you_notes_drawings,Photos of Thank you Notes/Drawings
deliverable_project_activity_photos_150_day,Project Activity Photos (150-Day)
deliverable_project_activity_photos_270_day,Project Activity Photos (270-Day)
deliverable_survival_activity_report_12_months,Survival Activity Report (12 months)
deliverable_survival_activity_report_6_months,Survival Activity Report (6 months)
deliverable_survival_caregiver_interview_and_photo,Survival Caregiver Interview and Photo
deliverable_survival_caregiver_letter_12_months,Survival Caregiver Letter (12 months)
deliverable_survival_caregiver_letter_6_months,Survival Caregiver Letter (6 months)
