id,name
sub_cat_abuse_prevention,Abuse prevention
subcat_accessing_savings,Accessing savings & loans groups
subcat_beneficiary_income,Beneficiary income generation
subcat_boreholes_wells,Boreholes/wells
subcat_camps_retreats,Camps/retreats
subcat_caregiver_income,Caregiver income generation
subcat_child_development,Child development
subcat_computer_lab,Computer lab
subcat_dental_health,Dental
subcat_health_promotion,Health promotion
subcat_disaster_mitigation,Disaster mitigation
subcat_disaster_recovery,Disaster recovery
subcat_disaster_relief,Disaster relief
subcat_disaster_rehabilitation,Disaster rehabilitation
subcat_environmental,Environmental
subcat_food_security,Food security
subcat_group_nutrition,Group nutrition
subcat_group_psychological,Group psychological interventions
subcat_growth_monitoring,Growth monitoring equipment
subcat_home_construction,Home construction or repair
subcat_household_water_treatment,Household water treatment
subcat_icp_classrooms,Icp classrooms
subcat_icp_facility_safety,Icp facility & safety improvements
subcat_icp_learning_materials,Icp learning materials/resources
subcat_icp_lighting_electricity,Icp lighting/electricity
subcat_icp_small_business_training,Icp small business training initiatives
subcat_icp_water_treatment,Icp water treatment
subcat_icp_kitchen,Icp kitchen
subcat_library_resource_center,Library/resource center
subcat_literacy,Literacy
subcat_malaria_prevention,Malaria prevention
subcat_medical_campaigns,Medical campaigns
subcat_micro_loans,Micro-loans
subcat_mosquito_nets,Mosquito nets
subcat_non_core_curricula,Non-core curricula
subcat_other_vector_borne_illness,Other vector borne illness prevention
subcat_parenting_skills,Parenting skills
subcat_playgrounds_recreation_areas,Playgrounds & recreation areas
subcat_pre_university,Pre-university preparation courses
subcat_professional_post_secondary,Professional post-secondary
subcat_sanitation_latrines,Sanitation (Latrines Toilets Sinks)
subcat_school_fees,School fees
subcat_shoes,Shoes
subcat_small_business_skills,Small business skills
subcat_special_need_resources,Special need resources
subcat_spiritual_focus_events,Spiritual focus events
subcat_sports_recreational,Sports/recreational activities
subcat_university_college,University/college courses
subcat_vaccinations,Vaccinations
subcat_vocational_training,Vocational training
subcat_water_catchment,Water catchment
subcat_water_storage_tanks,Water storage tanks
subcat_water_system_connections,Water system connections
