local_id,global_id
TZ010900047,04360984
HA063204025,04375787
UG014400053,04508881
CO044000397,04536587
IN038500604,04562447
BD040200168,04567128
KE033500134,04589342
PH025100122,04602522
BF010100155,04615357
ID013900074,04721706
UG043800159,04742401
BF040200221,04762365
KE075900029,04773513
PH046500014,04786732
BF035700092,04819666
BF040200090,04848437
TG020100188,04851171
TG020100194,04857705
HO033000257,04862048
HO033000222,04874444
BD051600173,04933921
GU085300759,04940010
PE020400904,04965765
BD041300216,04997176
BF020300090,05006957
UG015400258,05044517
PE020900790,05046509
ET034800174,05078162
BR047300101,05081168
IN028400232,05085163
PE025800600,05111062
GU091400547,05123424
HA080202202,05235385
ET061000215,05240950
IN090700017,05257638
ET061000213,05299291
ET031000470,05332592
GU090200643,05351230
GU047600052,05374139
BR047300174,05425982
EC014900333,05454908
PE039300417,05469625
ET085900161,05494111
BD021501140,05498551
EI015000083,05518461
GU049800093,05536687
GU046800251,05551280
BD021500303,05555407
BD021501143,05555429
BD021501142,05555432
EI073700169,05589406
GU095300721,05595458
GU041900292,05623507
ET011900682,05681817
ET016800249,05686423
PH019700358,05695672
EC061200130,05736891
BR047300297,05746244
BR054300254,05766705
RW063700048,05789934
PH022700409,05799919
UG058100043,05802499
PH021601237,05811133
BF010000121,05816719
EC061200033,05849146
ET033200234,05869243
ET071000011,05930562
BF010800145,05932178
HO025500220,05951531
BF010900160,05971582
BO064100014,06018356
TG050200084,06085348
UG083000262,06120764
GH020100221,06121281
EC059100390,06156694
IN091400104,06157176
TG011200017,06172360
EI022000050,06261610
TZ070800153,06279395
ET017100055,06327601
PH084100583,06344651
RW039900015,06351010
RW039900039,06351012
ID013000311,06472274
ES095600026,06477636
ES095600060,06478326
TH095309350,06494086
IN013800368,06500766
UG070400751,06509199
IN062900544,06520829
IN059700486,06521429
IN059700485,06521438
IN059700484,06521441
IN059700483,06521442
IN059700487,06521616
EC038000875,06523847
EC038000876,06523850
EC038000878,06523853
ET052200460,06534893
KE045500286,06539543
EI046700154,06552809
EI046700156,06552823
EI046700157,06552828
EI046700162,06558112
EI046700165,06558158
EI046700168,06558191
EC038000877,06565269
EC044101176,06565769
EC053000244,06568699
KE077500257,06571311
TZ096700274,06576170
TG010700264,06601902
TG010700282,06603253
TG010700283,06603290
TG010700284,06603305
TG010700289,06603372
TG010700291,06603389
TG010700293,06603405
TG010700294,06603413
TG010700295,06603423
TG010700298,06603613
IN011500235,06624928
IN011500238,06624941
IN011500239,06624943
IN011500241,06624953
IN011500242,06624958
UG022200545,06625005
IN011500243,06626226
GU090200802,06637141
GU090200804,06637288
PH023900600,06641865
ID020800802,06656916
ID020800809,06656968
GU045000255,06668115
NI028400181,06678885
NI028400182,06678981
NI028400185,06679008
NI028400186,06679135
NI028400188,06679163
NI028400190,06679186
DR043400929,06694290
DR043400933,06696181
DR043400936,06696961
EC053400304,06697008
UG023400413,06703783
KE025300282,06704312
EC053400307,06704746
EC053400309,06704805
ET058700064,06706763
ET058700216,06706967
ET058700225,06707444
TG092000219,06742946
TG092000220,06742992
TG092000221,06743023
TG092000222,06744839
DR036700831,06757031
DR036700832,06757206
DR036700833,06757221
DR036700834,06757251
DR036700835,06757263
DR036700837,06757322
DR036700838,06757388
DR036700839,06757400
DR036700841,06757458
DR029300827,06759733
HO071100199,06815517
LK060400287,06822450
LK060400290,06823255
IO010300326,06830433
IO010300327,06830441
IO010300330,06830468
TZ014400218,06831129
HA027103901,06834460
IO094700411,06841086
BO042200707,06843041
BO081200187,06844014
BO081200192,06844019
BO045600097,06849146
IN098300262,06849227
IN098300266,06849228
IN098300270,06849232
IN098300272,06849241
IN098300274,06849244
IN098300275,06849250
IN098300276,06849252
IN098300278,06849255
IN098300279,06849256
IN098300280,06849257
BO045300270,06850168
DR053301405,06850812
KE025300286,06853199
KE025300283,06853729
TH034400128,06856363
TH034400137,06856670
TH034400138,06856728
BR056200046,06859729
BR056200047,06859730
BR056200051,06859732
BR056200054,06859735
BR056200055,06859736
BR056200056,06859737
BR056200057,06859738
BO018101615,06861089
ME094600390,06861556
ME094600393,06861560
