sponsor_ref,global_id
1515661,07231287
1515700,07231288
1508503,07238544
1512315,07238545
1515349,07238770
1515952,07238771
1515993,07238772
1515998,07238773
1515914,07239552
1515889,07240565
1513217,07242534
1509714,03283379
1509714,03283379
1509714,03283379
1509718,03283380
1509723,03283381
1509733,03283382
1509744,03283384
1509750,03283385
1509754,03283386
1509765,03283388
1509773,03283390
1509779,03283391
1509783,03283392
1509790,03283393
1509794,03283394
1509794,03283394
1509794,03283394
1509794,03283394
1509798,03283395
1509798,03283395
1509802,03283396
1509806,03283397
1509810,03283398
1509810,03283398
1509814,03283399
1509818,03283400
1509823,03283401
1509823,03283401
1509840,03283404
1509852,03283407
1509857,03283408
1509861,03283409
1509861,03283409
1509861,03283409
1509865,03283410
1509865,03283410
1509865,03283410
1509875,03283411
1509889,03283412
1509895,03283413
1509895,03283413
1509904,03283414
1509914,03283416
1509923,03283417
1509928,03283418
1509954,03283422
1509954,03283422
1509960,03283423
1509965,03283424
1509965,03283424
1509969,03283425
1509975,03283426
1509979,03283427
1509983,03283428
1509983,03283428
1509987,03283429
1509994,03283430
1510000,03283431
1510005,03283432
1510013,03283433
1510013,03283433
1510019,03283434
1510019,03283434
1510027,03283435
1510040,03283436
1510052,03283437
1510062,03283438
1510066,03283439
1510076,03283440
1510081,03283441
1510081,03283441
1510081,03283441
1510081,03283441
1510081,03283441
1510081,03283441
1510090,03283443
1510095,03283444
1510099,03283445
1510105,03283446
1510112,03283447
1510119,03283448
1510119,03283448
1510119,03283448
1510129,03283449
1510134,03283450
1510140,03283451
1510140,03283451
1510140,03283451
1510140,03283451
1510140,03283451
1510140,03283451
1510140,03283451
1510140,03283451
1510140,03283451
1510140,03283451
1510140,03283451
1510152,03283452
1510156,03283453
1510162,03283454
1510166,03283455
1510170,03283456
1510177,03283457
1510192,03283458
1510202,03283460
1510210,03283461
1510210,03283461
1510210,03283461
1510224,03283463
1510233,03283464
1510233,03283464
1510240,03283465
1510249,03283466
1510261,03283468
1510265,03283469
1510269,03283470
1510280,03283472
1510292,03283473
1510296,03283474
1510257,03283476
1510262,03283477
1510266,03283478
1510271,03283479
1510275,03283480
1510281,03283481
1510301,03283484
1510310,03283485
1510314,03283486
1510319,03283487
1510327,03283489
1510335,03283491
1510343,03283492
1510354,03283493
1510359,03283494
1510363,03283495
1510363,03283495
1510367,03283496
1510371,03283497
1510377,03283498
1510385,03283499
1510385,03283499
1510392,03283500
1510400,03283502
1510400,03283502
1510408,03283503
1510408,03283503
1510420,03283504
1510425,03283505
1510425,03283505
1510429,03283506
1510433,03283507
1510439,03283508
1510443,03283509
1510449,03283510
1510456,03283511
1510456,03283511
1510463,03283512
1510467,03283513
1510467,03283513
1510478,03283514
1510497,03283517
1510497,03283517
1510497,03283517
1510507,03283519
1510511,03283520
1510520,03283522
1510525,03283523
1510532,03283524
1510539,03283525
1510546,03283526
1510555,03283527
1510563,03283528
1510569,03283529
1510574,03283530
1510578,03283531
1510585,03283532
1510595,03283533
1510610,03283536
1510614,03283537
1510624,03283539
1510629,03283540
1510635,03283541
1510639,03283542
1510645,03283543
1510651,03283544
1510655,03283545
1510660,03283546
1510667,03283547
1510671,03283548
1510675,03283549
1510675,03283549
1510703,03283553
1510707,03283554
1510711,03283555
1510715,03283556
1510721,03283557
1510725,03283558
1510729,03283559
1510733,03283560
1510733,03283560
1510737,03283561
1510737,03283561
1510742,03283562
1510746,03283563
1510771,03283567
1510775,03283568
1510780,03283569
1510785,03283570
1510793,03283572
1510308,03283574
1510322,03283577
1510326,03283578
1510340,03289781
1510348,03289782
1510376,03289787
1510391,03289789
1510391,03289789
1510395,03289790
1510399,03289791
1510399,03289791
1510414,03289793
1510424,03289794
1510428,03289795
1510437,03289797
1510442,03289798
1510446,03289799
1510453,03289800
1510462,03289801
1510466,03289802
1510477,03289803
1510484,03289804
1510490,03289805
1510505,03289808
1510510,03289809
1510515,03289810
1510523,03289812
1510531,03289813
1510538,03289814
1510542,03289815
1510552,03289816
1510572,03289819
1510577,03289820
1510577,03289820
1510582,03289821
1510594,03289822
1510598,03289823
1510609,03289825
1510613,03289826
1510617,03289827
1510623,03289828
1510628,03289829
1510628,03289829
1510632,03289830
1510650,03289833
1510659,03289835
1510665,03289836
1510670,03289837
1510674,03289838
1510678,03289839
1510702,03289842
1510706,03289843
1510710,03289844
1510714,03289845
1510720,03289846
1510724,03289847
1510728,03289848
1510732,03289849
1510736,03289850
1510741,03289851
1510745,03289852
1510753,03289853
1510762,03289854
1510766,03289855
1510770,03289856
1510774,03289857
1510778,03289858
1510783,03289859
1510788,03289860
1510796,03289862
1510812,03289865
1510816,03289866
1510820,03289867
1510824,03289868
1510830,03289869
1509658,03289872
1509662,03289873
1509684,03289877
1509691,03289878
1509704,03289880
1509716,03289882
1509720,03289883
1509729,03289884
1509736,03289885
1509747,03289887
1509752,03289888
1509756,03289889
1509763,03289890
1509771,03289892
1509777,03289893
1509785,03289895
1509792,03289896
1509792,03289896
1509792,03289896
1509796,03289897
1509804,03289899
1509808,03289900
1509812,03289901
1509821,03289903
1509835,03289906
1509835,03289906
1509842,03289907
1509846,03289908
1509850,03289909
1509854,03289910
1509859,03289911
1509863,03289912
1509887,03289914
1509891,03289915
1509906,03289917
1509906,03289917
1509912,03289918
1509920,03289919
1509926,03289920
1509930,03289921
1509948,03289923
1509952,03289924
1509956,03289925
1509963,03289926
1509967,03289927
1509972,03289928
1509972,03289928
1509977,03289929
1509977,03289929
1509981,03289930
1509989,03289932
1509997,03289933
1510003,03289934
1510016,03289936
1510025,03289937
1510045,03289939
1510058,03289940
1510064,03289941
1510071,03289942
1510079,03289943
1510084,03289944
1510097,03289947
1510101,03289948
1510109,03289949
1510109,03289949
1510109,03289949
1510117,03289950
1510127,03289951
1510131,03289952
1510136,03289953
1510154,03289955
1510160,03289956
1510164,03289957
1510168,03289958
1510175,03289959
1510190,03289960
1510190,03289960
1510190,03289960
1510190,03289960
1510190,03289960
1510194,03289961
1510199,03289962
1510199,03289962
1510212,03289964
1510221,03289965
1510806,03289969
1510813,03289970
1510817,03289971
1510821,03289972
1510831,03289974
1510831,03289974
1510831,03289974
1510831,03289974
1510836,03289975
1510842,03289976
1510846,03289977
1510862,03296179
1510862,03296179
1510871,03296181
1510871,03296181
1510880,03296182
1510889,03296184
1510893,03296185
1510903,03296186
1510903,03296186
1510914,03296188
1510924,03296189
1510936,03296190
1510945,03296191
1510952,03296192
1510952,03296192
1510952,03296192
1510968,03296194
1510975,03296195
1510975,03296195
1510975,03296195
1510979,03296196
1510979,03296196
1510979,03296196
1510983,03296197
1510987,03296198
1510997,03296200
1511008,03296202
1511019,03296204
1511019,03296204
1511019,03296204
1511024,03296205
1511029,03296206
1511033,03296207
1511042,03296209
1511047,03296210
1511053,03296211
1511058,03296212
1511067,03296214
1511088,03296217
1511094,03296218
1511100,03296219
1511109,03296221
1511109,03296221
1511115,03296222
1511121,03296223
1511125,03296224
1511133,03296225
1511140,03296226
1511154,03296228
1511158,03296229
1511158,03296229
1511158,03296229
1511162,03296230
1511170,03296231
1511175,03296232
1511179,03296233
1511188,03296235
1511195,03296236
1511203,03296237
1511208,03296238
1511214,03296239
1511233,03296242
1511239,03296243
1511244,03296244
1511249,03296245
1511266,03296248
1511266,03296248
1511274,03296249
1511281,03296250
1511287,03296251
1511287,03296251
1511291,03296252
1511291,03296252
1511300,03296253
1511305,03296254
1511328,03296257
1511328,03296257
1511333,03296258
1511338,03296259
1511346,03296260
1511352,03296261
1511371,03296264
1510841,03296265
1510851,03296267
1510858,03296268
1510870,03296270
1510879,03296271
1510883,03296272
1510883,03296272
1510883,03296272
1510883,03296272
1510883,03296272
1510883,03296272
1510892,03296274
1510913,03296277
1510923,03296278
1510923,03296278
1510934,03296279
1510934,03296279
1510943,03296280
1510955,03296282
1510964,03296283
1510974,03296284
1510978,03296285
1510978,03296285
1510978,03296285
1510986,03296287
1510991,03296288
1510991,03296288
1510996,03296289
1511002,03296290
1511002,03296290
1511007,03296291
1511017,03296293
1511017,03296293
1511022,03296294
1511032,03296296
1511036,03296297
1511041,03296298
1511046,03296299
1511052,03296300
1511061,03296302
1511061,03296302
1511066,03296303
1511066,03296303
1511076,03296305
1511076,03296305
1511092,03296307
1511098,03296308
1511098,03296308
1511098,03296308
1511098,03296308
1511103,03296309
1511108,03296310
1511112,03296311
1511120,03296312
1511124,03296313
1511129,03296314
1511137,03296315
1511148,03296316
1511153,03296317
1511157,03296318
1511161,03296319
1511169,03296320
1511178,03296322
1511182,03296323
1511187,03296324
1511194,03296325
1511202,03296326
1511213,03296328
1511232,03296331
1511238,03296332
1511248,03296334
1511254,03296335
1511254,03296335
1511260,03296336
1511273,03296338
1511278,03296339
1511286,03296340
1511290,03296341
1511299,03296342
1511304,03296343
1511308,03296344
1511315,03296345
1511315,03296345
1511315,03296345
1511315,03296345
1511326,03296346
1511326,03296346
1511332,03296347
1511336,03296348
1511344,03296349
1511349,03296350
1511349,03296350
1511357,03296351
1511370,03296353
1511375,03296354
1511380,03296355
1511391,03296356
1511395,03296357
1511422,03296361
1511376,03296362
1511381,03296363
1511381,03296363
1511392,03296364
1511397,03296365
1511401,03296366
1511410,03296367
1511418,03296368
1511434,03296371
1511441,03296372
1511446,03296373
1511453,03296374
1511460,03296375
1511467,03296376
1511472,03296377
1511477,03296378
1511484,03302379
1511496,03302380
1511505,03302381
1511510,03302382
1511527,03302385
1511533,03302386
1511533,03302386
1511545,03302388
1511553,03302389
1511553,03302389
1511563,03302391
1511568,03302392
1511572,03302393
1511577,03302394
1511584,03302395
1511597,03302398
1511601,03302399
1511621,03302402
1511634,03302404
1511638,03302405
1511642,03302406
1511642,03302406
1511648,03302407
1511654,03302408
1511658,03302409
1511662,03302410
1511667,03302411
1511671,03302412
1511680,03302414
1511686,03302415
1511690,03302416
1511698,03302417
1511698,03302417
1511708,03302418
1511719,03302419
1511719,03302419
1511719,03302419
1511719,03302419
1511724,03302420
1511739,03302422
1511747,03302423
1511751,03302424
1511756,03302425
1511762,03302426
1511769,03302427
1511773,03302428
1511778,03302429
1511786,03302430
1511793,03302431
1511793,03302431
1511793,03302431
1511793,03302431
1511798,03302432
1511803,03302433
1511803,03302433
1511808,03302434
1511814,03302435
1511814,03302435
1511818,03302436
1511823,03302437
1511827,03302438
1511831,03302439
1511831,03302439
1511847,03302440
1511847,03302440
1511860,03302442
1511877,03302443
1511883,03302444
1511889,03302445
1511889,03302445
1511895,03302446
1511902,03302447
1511911,03302448
1511920,03302449
1511924,03302450
1511934,03302451
1511944,03302452
1511944,03302452
1511948,03302453
1511953,03302454
1511963,03302455
1511979,03302458
1512005,03302459
1512010,03302460
1510243,03302462
1510252,03302463
1510252,03302463
1510263,03302465
1510263,03302465
1510267,03302466
1510272,03302467
1510278,03302468
1510282,03302469
1510294,03302470
1510298,03302471
1510311,03302473
1510315,03302474
1510320,03302475
1510324,03302476
1510332,03302478
1510344,03302480
1510355,03302481
1510360,03302482
1510364,03302483
1510368,03302484
1510368,03302484
1510372,03302485
1510378,03302486
1510378,03302486
1510387,03302487
1510387,03302487
1510393,03302488
1510409,03302491
1510421,03302492
1510426,03302493
1510430,03302494
1510430,03302494
1510430,03302494
1510430,03302494
1510430,03302494
1510434,03302495
1510440,03302496
1510444,03302497
1510458,03302499
1510464,03302500
1510464,03302500
1510464,03302500
1510469,03302501
1510479,03302502
1510486,03302503
1510493,03302504
1510498,03302505
1510512,03302508
1510517,03302509
1510521,03302510
1510526,03302511
1510540,03302513
1510550,03302514
1510550,03302514
1510560,03302515
1510564,03302516
1510570,03302517
1510575,03302518
1510596,03302521
1510607,03302523
1510611,03302524
1510615,03302525
1510619,03302526
1510636,03302529
1510646,03302531
1510652,03302532
1510656,03302533
1510662,03302534
1510668,03302535
1510676,03302537
1510676,03302537
1510681,03302538
1510681,03302538
1510688,03302539
1510700,03302540
1510708,03302542
1510712,03302543
1510718,03302544
1510722,03302545
1510730,03302547
1510734,03302548
1510743,03302550
1510748,03302551
1510760,03302552
1510764,03302553
1510768,03302554
1510772,03302555
1510776,03302556
1510786,03302558
1511427,03302559
1511433,03302560
1511445,03302562
1511450,03302563
1511459,03302564
1511466,03302565
1511471,03302566
1511475,03302567
1511481,03302568
1511492,03302569
1511503,03302570
1511509,03302571
1511516,03302572
1511522,03302573
1511522,03302573
1511526,03302574
1511531,03302575
1511552,03302578
1511558,03308379
1511558,03308379
1511562,03308380
1511566,03308381
1511571,03308382
1511576,03308383
1511583,03308384
1511592,03308386
1511596,03308387
1511600,03308388
1511604,03308389
1511613,03308390
1511620,03308391
1511626,03308392
1511626,03308392
1511633,03308393
1511637,03308394
1511641,03308395
1511647,03308396
1511653,03308397
1511657,03308398
1511661,03308399
1511665,03308400
1511670,03308401
1511674,03308402
1511679,03308403
1511679,03308403
1511679,03308403
1511685,03308404
1511689,03308405
1511718,03308408
1511728,03308410
1511746,03308412
1511750,03308413
1511750,03308413
1511760,03308415
1511768,03308416
1511777,03308418
1511784,03308419
1511797,03308421
1511802,03308422
1511806,03308423
1511813,03308424
1511817,03308425
1511822,03308426
1511822,03308426
1511826,03308427
1511830,03308428
1511830,03308428
1511857,03308431
1511875,03308432
1511882,03308433
1511888,03308434
1511910,03308437
1511910,03308437
1511919,03308438
1511923,03308439
1511923,03308439
1511932,03308440
1511943,03308441
1511947,03308442
1511951,03308443
1511962,03308444
1511967,03308445
1511978,03308447
1511995,03308448
1512009,03308449
1512015,03308450
1512021,03308451
1512029,03308452
1512029,03308452
1512035,03308453
1512040,03308454
1512052,03308456
1512023,03308458
1512030,03308459
1512037,03308460
1512041,03308461
1512048,03308462
1512053,03308463
1512058,03308464
1512072,03308466
1512076,03308467
1512081,03308468
1512081,03308468
1512085,03308469
1512092,03308470
1512098,03308471
1512107,03308472
1512135,03308474
1512151,03308475
1512163,03308476
1512177,03308477
1512226,03308479
1512263,03308480
1512287,03308481
1512299,03308482
1512304,03308483
1512311,03308484
1512320,03308485
1512320,03308485
1512383,03308486
1512400,03308487
1512425,03308488
1512446,03308489
1512450,03308490
1512466,03308491
1512470,03308492
1512474,03308493
1512502,03308495
1512509,03308496
1512518,03308498
1512522,03308499
1512526,03308500
1512526,03308500
1512526,03308500
1512526,03308500
1512526,03308500
1512530,03308501
1512534,03308502
1512534,03308502
1512534,03308502
1512538,03308503
1512542,03308504
1512546,03308505
1512554,03308506
1512554,03308506
1512585,03308507
1512589,03308508
1512589,03308508
1512613,03308510
1512617,03308511
1512621,03308512
1512625,03308513
1512666,03308515
1512670,03308516
1512670,03308516
1512675,03308517
1512679,03308518
1512696,03308519
1512700,03308520
1512708,03308521
1512712,03308522
1512716,03308523
1512720,03308524
1512724,03308525
1512739,03308526
1512746,03308527
1512765,03308529
1512798,03308530
1512803,03308531
1512815,03308532
1512830,03308533
1512839,03308534
1512839,03308534
1512852,03308536
1512860,03308537
1512880,03308538
1512887,03308539
1512894,03308540
1512901,03308541
1512909,03308542
1512913,03308543
1512919,03308544
1512919,03308544
1512940,03308548
1512949,03308549
1512949,03308549
1512956,03308550
1512963,03308551
1512970,03308552
1512974,03308553
1512056,03308554
1512064,03308555
1512064,03308555
1512071,03308556
1512075,03308557
1512080,03308558
1512097,03308561
1512106,03308562
1512119,03308563
1512133,03308564
1512147,03308565
1512162,03308566
1512176,03308567
1512190,03308568
1512258,03308570
1512286,03308571
1512295,03308572
1512310,03308574
1512316,03308575
1512370,03308576
1512391,03308577
1512444,03314979
1512449,03314980
1512465,03314981
1512469,03314982
1512473,03314983
1512473,03314983
1512477,03314984
1512482,03314985
1512508,03314986
1512513,03314987
1512517,03314988
1512521,03314989
1512525,03314990
1512529,03314991
1512533,03314992
1512537,03314993
1512537,03314993
1512541,03314994
1512545,03314995
1512584,03314997
1512588,03314998
1512596,03314999
1512612,03315000
1512616,03315001
1512616,03315001
1512624,03315003
1512651,03315004
1512664,03315005
1512669,03315006
1512673,03315007
1512678,03315008
1512699,03315010
1512706,03315011
1512706,03315011
1512711,03315012
1512715,03315013
1512719,03315014
1512719,03315014
1512723,03315015
1512736,03315016
1512745,03315017
1512749,03315018
1512761,03315019
1512761,03315019
1512801,03315021
1512814,03315022
1512819,03315023
1512843,03315025
1512851,03315026
1512859,03315027
1512879,03315028
1512886,03315029
1512891,03315030
1512899,03315031
1512908,03315032
1512912,03315033
1512912,03315033
1512917,03315034
1512923,03315035
1512929,03315036
1512933,03315037
1512947,03315039
1512947,03315039
1512955,03315040
1512961,03315041
1512969,03315042
1512973,03315043
1512977,03315044
1512981,03315045
1512985,03315046
1512989,03315047
1512994,03315048
1512994,03315048
1510794,03315050
1510798,03315051
1510808,03315053
1510814,03315054
1510818,03315055
1510822,03315056
1510827,03315057
1510839,03315059
1510843,03315060
1510847,03315061
1510855,03315062
1510867,03315064
1510881,03315066
1510885,03315067
1510890,03315068
1510890,03315068
1510890,03315068
1510890,03315068
1510890,03315068
1510894,03315069
1510904,03315070
1510911,03315071
1510915,03315072
1510925,03315073
1510941,03315074
1510949,03315075
1510953,03315076
1510958,03315077
1510969,03315078
1510976,03315079
1510980,03315080
1510984,03315081
1510993,03315083
1510993,03315083
1510999,03315084
1511014,03315087
1511030,03315090
1511038,03315092
1511043,03315093
1511043,03315093
1511048,03315094
1511048,03315094
1511054,03315095
1511063,03315097
1511074,03315099
1511083,03315100
1511083,03315100
1511083,03315100
1511083,03315100
1511083,03315100
1511083,03315100
1511083,03315100
1511083,03315100
1511083,03315100
1511083,03315100
1511090,03315101
1511095,03315102
1511101,03315103
1511101,03315103
1511106,03315104
1511110,03315105
1511117,03315106
1511122,03315107
1511126,03315108
1511134,03315109
1511150,03315111
1511155,03315112
1511159,03315113
1511163,03315114
1511171,03315115
1511176,03315116
1511180,03315117
1511184,03315118
1511191,03315119
1511199,03315120
1511199,03315120
1511204,03315121
1511210,03315122
1511221,03315123
1511225,03315124
1511225,03315124
1511236,03315126
1511240,03315127
1511245,03315128
1511252,03315129
1511258,03315130
1511262,03315131
1511276,03315133
1511282,03315134
1511295,03315136
1511301,03315137
1511313,03315139
1511318,03315140
1511334,03315142
1511342,03315143
1511347,03315144
1511355,03315145
1511360,03315146
1511368,03315147
1512978,03315148
1512982,03315149
1512986,03315150
1512990,03315151
1512996,03315152
1513004,03315153
1513010,03315154
1513010,03315154
1513020,03315155
1513025,03315156
1513031,03315157
1513049,03315158
1513066,03315160
1513075,03315161
1513086,03315162
1513093,03315163
1513100,03315164
1513105,03315165
1513110,03315166
1513117,03315167
1513121,03315168
1513132,03315169
1513144,03315170
1513153,03315171
1513158,03315172
1513163,03315173
1513163,03315173
1513168,03315174
1513192,03315175
1513201,03315176
1513221,03315177
1513227,03315178
1513232,03320779
1513256,03320780
1513263,03320781
1513277,03320782
1513277,03320782
1513288,03320783
1513326,03320784
1513344,03320786
1513344,03320786
1513350,03320787
1513354,03320788
1513376,03320789
1513384,03320790
1513390,03320791
1513399,03320792
1513408,03320793
1513412,03320794
1513421,03320795
1513442,03320796
1513451,03320797
1513488,03320798
1513003,03320799
1513009,03320800
1513019,03320801
1513023,03320802
1513030,03320803
1513048,03320804
1513053,03320805
1513074,03320807
1513085,03320808
1513092,03320809
1513099,03320810
1513104,03320811
1513109,03320812
1513114,03320813
1513130,03320815
1513130,03320815
1513142,03320816
1513151,03320817
1513157,03320818
1513161,03320819
1513167,03320820
1513200,03320822
1513215,03320823
1513225,03320824
1513230,03320825
1513255,03320826
1513262,03320827
1513325,03320830
1513325,03320830
1513325,03320830
1513329,03320831
1513343,03320832
1513349,03320833
1513353,03320834
1513369,03320835
1513382,03320836
1513398,03320838
1513403,03320839
1513403,03320839
1513403,03320839
1513403,03320839
1513411,03320840
1513417,03320841
1513437,03320842
1513437,03320842
1513449,03320843
1513476,03320844
1508229,03320846
1508239,03320847
1508244,03320848
1508249,03320849
1508253,03320850
1508253,03320850
1508257,03320851
1508261,03320852
1508267,03320853
1508275,03320855
1508283,03320857
1508292,03320859
1508300,03320861
1508305,03320862
1508320,03320865
1508328,03320867
1508365,03320875
1508369,03320876
1508377,03320878
1508382,03320879
1508392,03320881
1508396,03320882
1508402,03320883
1508406,03320884
1508415,03320886
1508419,03320887
1508427,03320889
1508435,03320891
1508443,03320893
1508457,03320895
1508467,03320897
1508471,03320898
1508475,03320899
1508475,03320899
1508491,03320903
1508495,03320904
1508499,03320905
1508504,03320906
1508511,03320907
1508511,03320907
1508517,03320908
1508527,03320910
1508543,03320912
1508549,03320913
1508559,03320915
1508566,03320916
1508582,03320919
1508590,03320920
1508595,03320921
1508599,03320922
1508607,03320923
1508612,03320924
1508627,03320927
1508633,03320928
1508642,03320930
1508646,03320931
1508651,03320932
1508657,03320933
1508661,03320934
1508676,03320937
1508680,03320938
1508680,03320938
1508680,03320938
1508684,03320939
1508694,03320941
1511372,03320943
1511393,03320946
1511398,03320947
1511402,03320948
1511411,03320949
1511419,03320950
1511425,03320951
1511425,03320951
1511425,03320951
1511429,03320952
1511435,03320953
1511442,03320954
1511448,03320955
1511455,03320956
1511462,03320957
1511469,03320958
1511473,03320959
1511486,03320961
1511500,03320962
1511507,03320963
1511507,03320963
1511512,03320964
1511512,03320964
1511519,03320965
1511524,03320966
1511528,03320967
1511528,03320967
1511528,03320967
1511528,03320967
1511537,03320968
1511542,03320969
1511554,03320971
1511560,03320972
1511560,03320972
1511569,03320974
1511573,03320975
1511573,03320975
1511586,03320977
1511590,03320978
1511594,03326579
1511598,03326580
1511609,03326582
1511617,03326583
1511628,03326585
1511635,03326586
1511639,03326587
1511650,03326589
1511655,03326590
1511659,03326591
1511663,03326592
1511668,03326593
1511672,03326594
1511676,03326595
1511681,03326596
