child_local_id,sponsor_ref,global_id
BR047300284,1515661,65-4970204
UG022200557,1515700,65-4970205
BR047300346,1508503,65-4971621
BR047300319,1512315,65-4971620
BR047300265,1515349,65-4971796
EC053400302,1515952,65-4971794
UG044900141,1515993,65-4971797
KE025000234,1515998,65-4971795
UG044700328,1515914,65-5022478
ID024700271,1515889,65-4973404
BR047300320,1513217,65-4974981
IO054900378,1509714,65-3877272
IO054900230,1509714,65-2877232
PH099000053,1509714,65-3628536
BO043000350,1509718,65-2887620
GU099400344,1509723,65-2877238
IN028400235,1509733,65-3048003
GH020100205,1509744,65-2924797
EI040500173,1509750,65-2902914
ET054000279,1509754,65-2896339
PE045000246,1509765,65-3038501
BF035700089,1509773,65-2933500
GU085300756,1509779,65-2933501
ES078700612,1509783,65-2933490
TH032700007,1509790,65-3375901
CO062000391,1509794,65-4934025
IN059700131,1509794,65-2979657
DR032400937,1509794,65-2937699
CO071000018,1509794,65-3671130
BO067200017,1509798,65-3375898
TG021400240,1509798,65-5080598
PE050800141,1509802,65-2929933
PE025800602,1509806,65-2951644
PE035700635,1509810,65-3417418
BF013300265,1509810,65-4263419
EC031800632,1509814,65-2958730
IN090700021,1509818,65-3776940
HA020203559,1509823,65-2946575
RW084000174,1509823,65-4559043
BF020100093,1509840,65-2946573
PE034500299,1509852,65-2958738
PH055900137,1509857,65-2979660
PE037000624,1509861,65-4374453
BF031100040,1509861,65-4468818
PE037000157,1509861,65-4802207
PH022709060,1509865,65-3312288
BD041300215,1509865,65-3312286
HA020203565,1509865,65-3312287
ES087500092,1509875,65-3038502
TG050200084,1509889,65-2971247
NI017300212,1509895,65-3217024
TH020600640,1509895,65-5048828
EC031800633,1509904,65-2976256
TG090100200,1509914,65-2997225
PE029700689,1509923,65-3057849
ME094900040,1509928,65-3000555
TG050400087,1509954,65-3132860
PH083900155,1509954,65-3015110
GU042000291,1509960,65-3792516
GU043300152,1509965,65-3004374
TZ081900132,1509965,65-3083506
ET054000276,1509969,65-3028744
KE075900041,1509975,65-3008880
EI061600210,1509979,65-3033602
ET054000275,1509983,65-3007211
IO095100558,1509983,65-4357758
UG084100043,1509987,65-3885647
HA077103848,1509994,65-3015116
TZ011200324,1510000,65-3015113
PH083900163,1510005,65-3028746
NI022600252,1510013,65-3603804
BF020600027,1510013,65-3028747
ET033100397,1510019,65-3015120
ET044600353,1510019,65-3015119
KE022700236,1510027,65-3028757
IO054900227,1510040,65-3024446
PH083900150,1510052,65-3057847
PE020501081,1510062,65-3048011
RW074100191,1510066,65-4268593
ME094600263,1510076,65-3857061
TH082009027,1510081,65-3033591
NI024300147,1510081,65-3033590
TZ011200329,1510081,65-3033592
ES087500132,1510081,65-3033593
IO054900228,1510081,65-3033594
HO027100255,1510081,65-3194127
IN028400230,1510090,65-3057842
BF025900163,1510095,65-3048013
IO054900237,1510099,65-3047990
PH055900132,1510105,65-3033612
ET043800292,1510112,65-3048017
TG050400078,1510119,65-3041918
UG022800323,1510119,65-3041919
PE020501079,1510119,65-3910823
TZ023100094,1510129,65-3047980
BF025900182,1510134,65-3047992
ES083100351,1510140,65-4688733
TG050400089,1510140,65-4526776
TH038100083,1510140,65-4688732
PE031300630,1510140,65-3053016
NI013500467,1510140,65-3822774
DR070700277,1510140,65-3825939
ET057300124,1510140,65-3825940
EI020300835,1510140,65-3851550
BD030801149,1510140,65-3999385
ID020200171,1510140,65-4326018
CO074400182,1510140,65-4688731
ES070300763,1510152,65-3110232
GH019000213,1510156,65-3053018
TZ013600001,1510162,65-3776941
KE082400234,1510166,65-3080841
ID021900247,1510170,65-3554349
NI024300151,1510177,65-3080837
GU085300762,1510192,65-3065247
TH091800386,1510202,65-3090778
UG080500409,1510210,65-3069599
DR052101113,1510210,65-3771002
IO059800272,1510210,65-3771003
PH093800131,1510224,65-3080838
TG050200217,1510233,65-4050246
HA072401200,1510233,65-4547353
KE022700228,1510240,65-3090780
DR043000847,1510249,65-4971682
BD033401010,1510261,65-3086898
ME092700261,1510265,65-3086887
EC010900694,1510269,65-3458069
TZ070100338,1510280,65-3090793
GU042000293,1510292,65-3588019
BF013300073,1510296,65-3105236
ME094900211,1510257,65-3461884
UG053400021,1510262,65-3083524
TZ070100344,1510266,65-3153074
GU095300722,1510271,65-4699454
HA021900901,1510275,65-3110251
BD033801066,1510281,65-3086894
KE022700234,1510301,65-3086904
ET020000573,1510310,65-3100955
BF035400281,1510314,65-3090782
KE082400244,1510319,65-3090786
BF013300068,1510327,65-3115659
IN038800466,1510335,65-3105240
GU043400366,1510343,65-3233620
DR063300320,1510354,65-3110235
UG010000897,1510359,65-3105243
GH020100220,1510363,65-3130564
TH030401540,1510363,65-3130565
RW037200235,1510367,65-3153076
BO064100203,1510371,65-3105245
BR046600105,1510377,65-3115661
UG010000911,1510385,65-3126290
HA082200134,1510385,65-3153094
UG053400012,1510392,65-3130548
DR025500491,1510400,65-3130552
UG010000909,1510400,65-3130553
ET042000259,1510408,65-3136751
PE037000493,1510408,65-3217011
BO064100204,1510420,65-3126297
ET046100094,1510425,65-3333368
ET037100248,1510425,65-3333367
TG060100143,1510429,65-3574597
GU040400339,1510433,65-3351325
KE075900006,1510439,65-3153087
PE010900849,1510443,65-3163530
GH032300082,1510449,65-3351331
BO045300266,1510456,65-4934731
BF070100134,1510456,65-3158207
IN038800467,1510463,65-3169197
BD040501024,1510467,65-3169198
BF030900111,1510467,65-3987862
UG083000259,1510478,65-3169191
RW032101096,1510497,65-3198033
TG050200210,1510497,65-3198034
RW017800266,1510497,65-4805809
BO064100201,1510507,65-3203829
BF040600203,1510511,65-3440209
PE020501084,1510520,65-3198042
UG011900751,1510525,65-3240695
ET010800356,1510532,65-3217013
EC052200374,1510539,65-3243374
IN028400241,1510546,65-3243383
PE043400703,1510555,65-3217018
HA081700290,1510563,65-3222724
BO064300124,1510569,65-3222722
TG050200209,1510574,65-3240680
GU044900063,1510578,65-3268954
RW037400086,1510585,65-4547348
TZ067000125,1510595,65-3264935
HO033900375,1510610,65-3851557
UG045100154,1510614,65-3233625
TH037909019,1510624,65-3240685
PE052900355,1510629,65-4086497
BO064500016,1510635,65-4454130
UG044000513,1510639,65-3243376
TH091800397,1510645,65-3333359
BO064100197,1510651,65-3252358
ET070900111,1510655,65-3294103
ES083500401,1510660,65-3264944
KE078500197,1510667,65-4512733
TH034500171,1510671,65-3264946
NI011100982,1510675,65-3264949
BF068200325,1510675,65-4424062
KE082400250,1510703,65-3264929
PH029100043,1510707,65-3268955
TZ082200240,1510711,65-3294105
PH082500176,1510715,65-3288380
ET010800350,1510721,65-3440210
ET010800355,1510725,65-3288376
IO043300009,1510729,65-3294106
HO036500032,1510733,65-3312269
BR055100010,1510733,65-3772049
KE082400237,1510737,65-3278802
KE042900279,1510737,65-4330319
TH034500174,1510742,65-3305643
TZ082200234,1510746,65-3316647
TZ067000129,1510771,65-3297897
PE035700648,1510775,65-3312292
ID021900246,1510780,65-3312293
ES093500358,1510785,65-3312255
HA076900326,1510793,65-3315848
BF010000194,1510308,65-3174500
ME012500183,1510322,65-4864291
ET020400347,1510326,65-3105250
BO059400322,1510340,65-3208765
PE037000501,1510348,65-3100948
TG050400080,1510376,65-3191529
UG083000257,1510391,65-3110250
CO070300211,1510391,65-3110249
BF013300065,1510395,65-3126292
GH040500285,1510399,65-3891841
EI015000088,1510399,65-4538773
EC043100918,1510414,65-3130554
TH037909046,1510424,65-4967903
TZ067000107,1510428,65-3153069
ID052300072,1510437,65-3153096
TG020700271,1510442,65-4813918
BF020300085,1510446,65-3153086
TZ010400272,1510453,65-3158200
TG060100029,1510462,65-3153128
GH060000019,1510466,65-3179469
CO070300206,1510477,65-3169195
ME092700256,1510484,65-3179474
BR046600137,1510490,65-3505902
PE020400898,1510505,65-3194130
RW032101095,1510510,65-3213277
IO011300193,1510515,65-3194131
IN011801274,1510523,65-3194139
RW034000477,1510531,65-3261387
CO062000496,1510538,65-3217014
GH031100067,1510542,65-3233611
IN028400236,1510552,65-3233606
TZ013600145,1510572,65-3233607
ET010800351,1510577,65-3288379
UG022400474,1510577,65-4911832
HA076800344,1510582,65-3851556
KE022700235,1510594,65-3264934
NI021100034,1510598,65-4930773
BO064100195,1510609,65-3819277
UG015500198,1510613,65-3240682
CO043800607,1510617,65-3261382
ET020400345,1510623,65-3240681
TH037909004,1510628,65-3240687
BF015000209,1510628,65-5002600
DR016100846,1510632,65-3240688
PH022709065,1510650,65-3250472
ES070400583,1510659,65-3519295
TH037909041,1510665,65-3247519
BO059400323,1510670,65-3252380
TZ090300167,1510674,65-3273754
ET010800358,1510678,65-3281508
UG015500217,1510702,65-3999379
BO064100198,1510706,65-3264939
TG080700170,1510710,65-3273753
TG050200202,1510714,65-3278798
PE028401623,1510720,65-3294107
PE023400657,1510724,65-4765961
PE037000603,1510728,65-4688735
PH029100065,1510732,65-3278814
ID042300023,1510736,65-3305642
ET010800348,1510741,65-3288373
PE043400704,1510745,65-3288330
TZ090300166,1510753,65-3305644
BD022301083,1510762,65-3297894
ET037100183,1510766,65-3297896
ET037100182,1510770,65-3294126
BD023400187,1510774,65-4234032
KE036500147,1510778,65-3812045
PH026200157,1510783,65-3333352
CO051500739,1510788,65-3294119
TG020300015,1510796,65-3312258
IN072100729,1510812,65-3297899
PH026200165,1510816,65-3312302
EC026101803,1510820,65-3315850
BF046400014,1510824,65-3312242
ES083300274,1510830,65-3305630
KE032400364,1509658,65-2870827
HA082500337,1509662,65-2877227
TH030401523,1509684,65-2877228
BF040100312,1509691,65-2902909
EI016100421,1509704,65-4195152
DR063300313,1509716,65-2902919
TH030401537,1509720,65-2887626
ID020200027,1509729,65-2951658
PH055900138,1509736,65-2933496
KE075900004,1509747,65-2902913
CO060000540,1509752,65-2918720
GU099400334,1509756,65-2918727
TG050400090,1509763,65-2924788
RW037400075,1509771,65-2918723
ME094600017,1509777,65-2929939
ID021900250,1509785,65-4864290
ET054000278,1509792,65-2933492
BR021902109,1509792,65-4326001
EC061200083,1509792,65-4553846
HA075000347,1509796,65-2958727
BO067200022,1509804,65-2933494
BR044700006,1509808,65-2937695
BR032200797,1509812,65-2958729
DR063300315,1509821,65-2951649
BF020300087,1509835,65-3213284
TG012200028,1509835,65-4284147
NI024300150,1509842,65-2971232
IN091400097,1509846,65-3816084
ET046700141,1509850,65-2971227
NI024300152,1509854,65-2958739
UG045100164,1509859,65-2958741
TG050200212,1509863,65-3281504
ET033800234,1509887,65-2979661
TG050200088,1509891,65-2987421
CO060000584,1509906,65-3289660
GH020100218,1509906,65-2979664
BD051301052,1509912,65-2990508
BR032200804,1509920,65-2990506
KE075800108,1509926,65-2987424
UG024400159,1509930,65-2976257
TG050400008,1509948,65-3008876
UG015600002,1509952,65-3430978
IN091400100,1509956,65-3608493
EC031800629,1509963,65-3000548
RW037500293,1509967,65-2993359
TZ070100345,1509972,65-3057836
TG020100196,1509972,65-3975156
BD023401002,1509977,65-3004378
BD021500306,1509977,65-5080565
TG050400003,1509981,65-3020293
ET054000282,1509989,65-3015115
TG050400018,1509997,65-3028745
ME098500261,1510003,65-5000789
KE032400346,1510016,65-3015118
DR025500493,1510025,65-3028748
TZ011200331,1510045,65-3130546
BO043000348,1510058,65-3048010
PH086100126,1510064,65-3024447
BR021901593,1510071,65-3819276
EC031800630,1510079,65-3041914
BD051501005,1510084,65-3069608
RW037500288,1510097,65-3080851
PH046500004,1510101,65-3100944
KE032400353,1510109,65-3048016
KE076700239,1510109,65-3812060
ET058700219,1510109,65-4805811
RW037200233,1510117,65-3053005
PE020501078,1510127,65-3048021
ET060300443,1510131,65-3065249
BF020300091,1510136,65-3053024
RW037200238,1510154,65-3080840
HA021900902,1510160,65-3053019
GH020100215,1510164,65-3090777
ME092700255,1510168,65-3083504
BF025900164,1510175,65-3053025
UG057700231,1510190,65-4940351
